Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
April 30 2022,Wahkiakum,WA,Truck,0,0,0,1815,1815,0.00
May 31 2017,Adams,WA,Truck,0,0,0,5079,5079,0.00
October 31 2019,Collin,TX,Passenger,2,1,3,142,145,2.07
January 31 2024,Franklin,WA,Truck,10,0,10,20616,20626,0.05
February 28 2018,Grays Harbor,WA,Truck,0,0,0,20109,20109,0.00
November 30 2022,Chesterfield,VA,Passenger,1,0,1,37,38,2.63
May 31 2021,Missoula,MT,Passenger,1,0,1,64,65,1.54
March 31 2017,Harnett,NC,Passenger,1,0,1,262,263,0.38
December 31 2021,Providence,RI,Passenger,1,0,1,21,22,4.55
December 31 2021,Randolph,NC,Passenger,1,0,1,6,7,14.29
April 30 2017,Eagle,CO,Passenger,1,0,1,8,9,11.11
June 30 2018,Cowlitz,WA,Passenger,55,74,129,71728,71857,0.18
January 31 2022,King,WA,Truck,14,1,15,182576,182591,0.01
December 31 2017,Pacific,WA,Truck,0,0,0,7543,7543,0.00
December 31 2021,Klickitat,WA,Truck,0,0,0,8325,8325,0.00
February 28 2018,Fairfax,VA,Passenger,3,2,5,827,832,0.60
August 31 2018,Franklin,WA,Truck,0,0,0,18790,18790,0.00
February 28 2021,Sacramento,CA,Passenger,2,1,3,257,260,1.15
December 31 2019,Calvert,MD,Passenger,0,2,2,90,92,2.17
January 31 2020,Fort Bend,TX,Passenger,1,0,1,50,51,1.96
November 30 2021,Placer,CA,Passenger,2,0,2,77,79,2.53
April 30 2020,Cascade,MT,Passenger,0,1,1,61,62,1.61
May 31 2022,San Luis Obispo,CA,Passenger,1,0,1,61,62,1.61
November 30 2017,Montgomery,PA,Passenger,1,0,1,39,40,2.50
January 31 2018,Juneau,AK,Passenger,0,1,1,43,44,2.27
September 30 2021,Columbia,WA,Truck,0,0,0,1536,1536,0.00
April 30 2017,Spokane,WA,Passenger,236,208,444,295711,296155,0.15
December 31 2021,Benton,WA,Passenger,637,444,1081,136015,137096,0.79
January 31 2020,Whitman,WA,Truck,0,0,0,8569,8569,0.00
July 31 2017,Clark,WA,Truck,0,0,0,77725,77725,0.00
August 31 2022,Williamson,TX,Passenger,0,2,2,82,84,2.38
January 31 2024,Rockingham,NH,Passenger,1,0,1,7,8,12.50
November 30 2018,King,WA,Truck,6,1,7,182721,182728,0.00
February 28 2021,San Francisco,CA,Passenger,1,1,2,102,104,1.92
September 30 2020,Skagit,WA,Truck,1,0,1,32639,32640,0.00
January 31 2024,King,WA,Truck,1110,2,1112,170380,171492,0.65
February 28 2017,Salt Lake,UT,Passenger,0,1,1,333,334,0.30
November 30 2020,Missoula,MT,Passenger,1,0,1,66,67,1.49
August 31 2020,Columbia,OR,Passenger,1,0,1,26,27,3.70
September 30 2023,Solano,CA,Passenger,5,0,5,131,136,3.68
September 30 2018,Norfolk,MA,Passenger,1,0,1,37,38,2.63
January 31 2020,Moore,NC,Passenger,0,1,1,169,170,0.59
January 31 2023,Hillsborough,FL,Passenger,1,2,3,118,121,2.48
March 31 2019,Dale,AL,Passenger,0,1,1,52,53,1.89
May 31 2021,Spartanburg,SC,Passenger,0,1,1,56,57,1.75
November 30 2020,Mason,WA,Passenger,169,133,302,47483,47785,0.63
January 31 2024,Orange,CA,Passenger,7,2,9,256,265,3.40
March 31 2018,Pinal,AZ,Passenger,2,0,2,214,216,0.93
January 31 2019,Prince George's,MD,Passenger,1,1,2,188,190,1.05
June 30 2022,Yakima,WA,Truck,1,0,1,61388,61389,0.00
January 31 2022,Franklin,WA,Truck,0,0,0,20879,20879,0.00
May 31 2022,Grays Harbor,WA,Passenger,205,158,363,49057,49420,0.73
October 31 2023,Fairfax,VA,Passenger,6,3,9,542,551,1.63
June 30 2021,Montgomery,PA,Passenger,1,0,1,26,27,3.70
November 30 2023,Kings,CA,Passenger,2,2,4,262,266,1.50
December 31 2022,Nueces,TX,Passenger,0,1,1,52,53,1.89
May 31 2023,Charleston,SC,Passenger,1,2,3,55,58,5.17
March 31 2019,Franklin,MA,Passenger,0,1,1,1,2,50.00
January 31 2017,San Diego,CA,Passenger,4,2,6,2894,2900,0.21
April 30 2021,Chesapeake,VA,Passenger,0,2,2,408,410,0.49
February 28 2023,Douglas,WA,Truck,6,0,6,12881,12887,0.05
January 31 2019,Franklin,WA,Passenger,49,68,117,59313,59430,0.20
February 28 2023,Klickitat,WA,Truck,4,0,4,8272,8276,0.05
July 31 2023,Clallam,WA,Passenger,569,293,862,49023,49885,1.73
September 30 2021,Pacific,WA,Truck,0,0,0,7994,7994,0.00
April 30 2018,Lincoln,WA,Passenger,2,6,8,7613,7621,0.10
November 30 2019,Cochise,AZ,Passenger,0,1,1,102,103,0.97
January 31 2017,Monterey,CA,Passenger,0,1,1,234,235,0.43
August 31 2020,DuPage,IL,Passenger,4,0,4,60,64,6.25
June 30 2018,Utah,UT,Passenger,0,1,1,140,141,0.71
November 30 2021,Anchorage,AK,Passenger,2,0,2,138,140,1.43
July 31 2022,Ulster,NY,Passenger,1,0,1,12,13,7.69
December 31 2022,Ray,MO,Passenger,0,1,1,1,2,50.00
August 31 2021,Bartow,GA,Passenger,0,1,1,5,6,16.67
December 31 2020,Prince William,VA,Passenger,1,3,4,221,225,1.78
March 31 2018,Orange,FL,Passenger,2,1,3,170,173,1.73
June 30 2022,Kitsap,WA,Passenger,2390,1053,3443,178314,181757,1.89
January 31 2019,King,WA,Passenger,17166,6678,23844,1380645,1404489,1.70
December 31 2017,Columbia,WA,Truck,0,0,0,1541,1541,0.00
January 31 2024,Clark,WA,Passenger,7318,2683,10001,310003,320004,3.13
March 31 2024,,,Passenger,3,0,3,212,215,1.40
March 31 2020,Vigo,IN,Passenger,1,0,1,5,6,16.67
March 31 2021,Suffolk,MA,Passenger,0,2,2,34,36,5.56
November 30 2022,Travis,TX,Passenger,3,0,3,104,107,2.80
March 31 2021,Bexar,TX,Passenger,3,5,8,581,589,1.36
November 30 2022,Allen,IN,Passenger,1,0,1,18,19,5.26
December 31 2021,Lake,IN,Passenger,0,1,1,9,10,10.00
January 31 2020,Lake,FL,Passenger,1,0,1,24,25,4.00
June 30 2018,Clark,WA,Truck,0,0,0,79112,79112,0.00
August 31 2021,Stevens,WA,Passenger,49,44,93,30262,30355,0.31
December 31 2019,King,WA,Truck,6,1,7,182180,182187,0.00
June 30 2023,Mason,WA,Truck,11,0,11,20726,20737,0.05
November 30 2021,Santa Cruz,CA,Passenger,1,0,1,28,29,3.45
November 30 2021,Charleston,SC,Passenger,2,1,3,83,86,3.49
July 31 2017,Hardin,KY,Passenger,0,1,1,116,117,0.85
August 31 2022,Providence,RI,Passenger,1,0,1,21,22,4.55
June 30 2020,Hamilton,IN,Passenger,1,0,1,42,43,2.33
April 30 2021,Hawaii,HI,Passenger,1,0,1,55,56,1.79
September 30 2022,Kootenai,ID,Truck,1,0,1,36,37,2.70
May 31 2021,Sumter,FL,Passenger,0,1,1,10,11,9.09
October 31 2020,Dallas,IA,Passenger,0,1,1,10,11,9.09
April 30 2018,Lake,CA,Passenger,0,1,1,8,9,11.11
May 31 2017,DeKalb,IN,Passenger,1,0,1,1,2,50.00
November 30 2021,Burlington,NJ,Passenger,0,1,1,119,120,0.83
